"","X","bo_year_rank","worldwidegross","domesticgross","overseasgross","runtimeMinutes","averageRating","numVotes","Hcluster","km.cluster","numVotes_sq","bo_and_num"
"1",35,4,374100000,182800000,191300000,127,6.4,182236,"3","7",33209959696,728944
"2",44,5,441800000,190400000,251400000,88,6.2,320071,"2","7",102445445041,1600355
"3",45,5,349800000,137700000,212100000,82,6.5,48559,"3","7",2357976481,242795
"4",56,6,345100000,260000000,85100000,104,6.1,185313,"3","7",34340907969,1111878
"5",57,6,449200000,198500000,250700000,183,6.2,295811,"2","7",87504147721,1774866
"6",58,6,4.32e+08,160900000,271000000,133,6.1,193725,"2","7",37529375625,1162350
"7",59,6,462200000,244100000,218100000,117,7.1,336211,"2","7",113037836521,2017266
"8",69,7,4.33e+08,202000000,231000000,130,6.3,286816,"2","7",82263417856,2007712
"9",70,7,330400000,166200000,164200000,108,7,295465,"3","7",87299566225,2068255
"10",71,7,408200000,228000000,180300000,106,6.7,320104,"2","7",102466570816,2240728
"11",82,8,368800000,181200000,187600000,92,5.9,278333,"3","7",77469258889,2226664
"12",83,8,328700000,182600000,146100000,130,6.4,148420,"3","7",22028496400,1187360
"13",97,9,368700000,241400000,127300000,95,6.5,114558,"3","7",13123535364,1031022
"14",98,9,367300000,160900000,206400000,90,6,156588,"3","7",24519801744,1409292
"15",99,9,391100000,200100000,191000000,154,6,262014,"2","7",68651336196,2358126
"16",109,10,291400000,155500000,136000000,130,6.6,111361,"3","7",12401272321,1113610
"17",110,10,273300000,138600000,134700000,147,6.6,209021,"3","7",43689778441,2090210
"18",112,10,351700000,165100000,186600000,131,6.8,239459,"3","7",57340612681,2394590
"19",113,10,384300000,198000000,186300000,108,6.4,159527,"3","7",25448863729,1595270
"20",114,10,368100000,179500000,188600000,118,6.6,280757,"3","7",78824493049,2807570
"21",122,11,2.78e+08,157000000,121000000,88,6.2,217351,"3","7",47241457201,2390861
"22",124,11,347300000,226200000,121200000,90,6.6,187882,"3","7",35299645924,2066702
"23",125,11,3.36e+08,155000000,181000000,83,6.7,149562,"3","7",22368791844,1645182
"24",126,11,347500000,173000000,174500000,131,6.8,287801,"3","7",82829415601,3165811
"25",131,11,415300000,152600000,262600000,145,5.6,111208,"2","7",12367219264,1223288
"26",137,12,4.28e+08,158200000,269800000,86,6.5,23366,"3","7",545969956,280392
"27",139,12,306800000,170700000,136100000,113,7.1,203226,"3","7",41300807076,2438712
"28",141,12,314400000,135400000,179000000,81,5.7,79677,"3","7",6348424329,956124
"29",142,12,326600000,124700000,201800000,109,6.9,344598,"3","7",118747781604,4135176
"30",148,13,256300000,125600000,130700000,131,7.3,161068,"3","7",25942900624,2093884
"31",149,13,287600000,145100000,142500000,108,6.4,227663,"3","7",51830441569,2959619
"32",150,13,296700000,213300000,83300000,94,6.2,186089,"3","7",34629115921,2419157
"33",151,13,250400000,85300000,165100000,85,6.8,88156,"3","7",7771480336,1146028
"34",152,13,300300000,120200000,180100000,131,6.1,231796,"3","7",53729385616,3013348
"35",153,13,372200000,70100000,302100000,113,6.1,169203,"3","7",28629655209,2199639
"36",154,13,285200000,209300000,75900000,119,6.9,317276,"3","7",100664060176,4124588
"37",164,14,248100000,95000000,153100000,106,7.3,359831,"3","6",129478348561,5037634
"38",166,14,260700000,128200000,132500000,91,6.3,124004,"3","7",15376992016,1736056
"39",170,14,361300000,217300000,144000000,92,5.2,70537,"3","7",4975468369,987518
"40",177,15,237200000,101600000,135600000,118,6.5,248288,"3","7",61646930944,3724320
"41",178,15,275700000,153300000,122400000,86,5,89405,"3","7",7993254025,1341075
"42",179,15,245400000,132200000,113200000,138,5.6,241783,"3","7",58459019089,3626745
"43",180,15,286900000,162800000,124100000,100,6.6,157373,"3","7",24766261129,2360595
"44",181,15,340500000,127800000,212700000,107,7,167002,"3","7",27889668004,2505030
"45",182,15,341400000,134500000,206900000,110,6.7,343988,"3","7",118327744144,5159820
"46",184,15,359100000,176600000,182500000,140,6.2,148535,"3","7",22062646225,2228025
"47",189,16,224800000,106800000,118000000,84,7,166026,"3","7",27564632676,2656416
"48",190,16,235900000,78600000,157300000,146,7.2,277056,"3","6",76760027136,4432896
"49",191,16,236400000,127200000,109200000,107,5.9,235393,"3","7",55409864449,3766288
"50",192,16,230900000,76000000,154900000,121,7,283419,"3","7",80326329561,4534704
"51",194,16,371400000,125300000,246000000,115,6.5,324212,"3","7",105113420944,5187392
"52",195,16,249500000,75000000,174500000,104,5.1,117960,"3","4",13914561600,1887360
"53",196,16,3.74e+08,77600000,296400000,107,7.3,204531,"3","7",41832929961,3272496
"54",201,17,215700000,69200000,146400000,124,5.9,55779,"3","2",3111296841,948243
"55",202,17,209900000,96500000,113400000,101,7.6,317198,"3","6",100614571204,5392366
"56",203,17,231400000,104600000,126900000,96,6.3,184682,"4","7",34107441124,3139594
"57",204,17,256700000,114200000,142500000,108,6.5,230061,"3","7",52928063721,3911037
"58",205,17,237700000,137400000,100300000,107,6.4,287033,"3","7",82387943089,4879561
