"","bo_year_rank","worldwidegross","domesticgross","overseasgross","runtimeMinutes","averageRating","numVotes","Hcluster","km.cluster"
"1",1,919800000,441200000,478600000,93,7.2,388573,1,5
"2",1,896900000,290000000,606900000,157,7.7,496989,1,5
"3",1,1067000000,415000000,652000000,103,8.3,699402,1,5
"4",1,1003000000,533300000,469700000,152,9,2099320,1,5
"5",1,2778900000,749800000,2029200000,162,7.8,1058536,1,5
"6",1,1276500000,400700000,875700000,102,7.5,524312,1,5
"7",2,460600000,187700000,272900000,155,8.5,1232353,1,6
"8",2,899200000,339700000,559500000,100,8.1,881573,1,5
"9",2,879000000,262000000,617000000,161,7.4,501482,1,5
"10",2,796700000,249500000,547100000,142,7.9,498098,1,5
"11",2,786600000,317100000,469500000,122,6.1,398146,2,5
"12",2,1671700000,652300000,1019400000,124,7,546475,1,5
"13",2,939900000,292000000,647900000,138,7.5,461705,1,5
"14",2,758200000,217500000,540700000,149,6.6,376528,2,5
"15",2,934400000,302000000,632500000,153,7.6,426120,1,5
"16",2,1108600000,304400000,804200000,143,7.7,597291,1,5
"17",2,1214800000,409000000,805800000,130,7.2,705507,1,5
"18",2,1346900000,700100000,646900000,134,7.3,540101,1,5
"19",3,1236000000,226000000,1010000000,136,6.7,185825,1,5
"20",3,821700000,403700000,418000000,121,7.3,649160,1,5
"21",3,429600000,233600000,196000000,143,7.8,479888,2,6
"22",3,742100000,281600000,460600000,138,7.2,485179,2,5
"23",3,783800000,373600000,410200000,127,7.3,508476,1,5
"24",3,890900000,336500000,554300000,139,6.2,468311,1,5
"25",3,631700000,215400000,416300000,92,7.5,387766,2,7
"26",3,1084900000,448100000,636800000,164,8.4,1406699,1,5
"27",3,970800000,368100000,602700000,98,7.4,348825,1,5
"28",3,773300000,333200000,440200000,121,8.1,970242,1,5
"29",3,1028600000,486300000,542300000,97,7.3,218252,1,5
"30",3,1516000000,353000000,1163000000,137,7.2,339759,1,5
"31",4,1034800000,264600000,770200000,89,6.3,96762,1,5
"32",4,1242800000,608600000,634200000,118,7.7,214689,1,5
"33",4,1128300000,426800000,701400000,123,7,357882,1,5
"34",4,484400000,267700000,216700000,90,7.8,571247,2,7
"35",4,374100000,182800000,191300000,127,6.4,182236,3,7
"36",4,633000000,261400000,371600000,115,8,613133,2,5
"37",4,599000000,167400000,431600000,144,8,544756,2,5
"38",4,591700000,234300000,357500000,116,6.5,391923,2,7
"39",4,799000000,322700000,476200000,93,6,260078,2,5
"40",4,624400000,227900000,396400000,92,6.4,417688,2,7
"41",4,828300000,292600000,535700000,148,8.8,1872207,1,5
"42",4,758500000,241400000,517100000,97,7,310693,2,5
"43",4,1023800000,341300000,682500000,108,8,391876,1,5
"44",5,441800000,190400000,251400000,88,6.2,320071,2,7
"45",5,349800000,137700000,212100000,82,6.5,48559,3,7
"46",5,484600000,242800000,241800000,101,6.7,350126,2,7
"47",5,611400000,370300000,241100000,127,7.1,202809,2,7
"48",5,550500000,218100000,332400000,187,7.2,371159,2,6
"49",5,709700000,319200000,390500000,144,7,573761,2,5
"50",5,574500000,250900000,323600000,108,6.4,291213,2,7
"51",5,752600000,238700000,513900000,93,6.3,170419,2,5
"52",5,769700000,166100000,603600000,158,5.8,331834,2,5
"53",5,1148100000,335100000,813000000,143,7,295967,1,5
"54",5,1058100000,432400000,625700000,100,8.1,91800,1,5
"55",5,1159400000,336000000,823400000,91,6.4,197407,1,5
"56",6,345100000,260000000,85100000,104,6.1,185313,3,7
"57",6,449200000,198500000,250700000,183,6.2,295811,2,7
"58",6,432000000,160900000,271000000,133,6.1,193725,2,7
"59",6,462200000,244100000,218100000,117,7.1,336211,2,7
"60",6,544300000,186700000,357500000,124,6.4,391141,2,7
"61",6,456800000,111100000,345600000,154,7.7,374407,2,6
"62",6,532700000,193600000,339100000,86,6.9,338150,2,7
"63",6,620700000,206400000,414300000,111,8,589957,2,5
"64",6,735100000,293000000,442100000,96,8.2,860858,1,5
"65",6,665700000,165200000,500400000,90,7.2,232881,2,7
"66",6,903700000,216400000,687200000,134,8,378010,1,5
"67",6,880700000,200100000,680600000,148,6.8,356886,1,5
"68",6,875500000,368400000,507100000,87,6.5,168032,1,5
"69",7,433000000,202000000,231000000,130,6.3,286816,2,7
"70",7,330400000,166200000,164200000,108,7,295465,3,7
"71",7,408200000,228000000,180300000,106,6.7,320104,2,7
"72",7,516600000,279300000,237400000,115,6.3,240276,2,7
"73",7,585300000,256400000,329000000,101,7.2,642025,2,5
"74",7,586100000,168400000,417700000,106,6.6,381133,2,7
"75",7,757900000,262000000,495900000,136,6.9,532276,2,5
"76",7,623900000,312400000,311500000,124,7,670786,2,5
"77",7,744200000,268500000,475700000,104,7.3,297220,2,5
"78",7,626100000,209800000,416300000,130,7.3,334163,2,7
"79",7,857600000,356500000,501100000,95,8.2,548854,1,5
"80",8,863800000,389800000,473900000,136,7.6,502829,1,5
"81",8,699800000,5900000,693900000,125,6.1,20596,2,7
"82",8,368800000,181200000,187600000,92,5.9,278333,3,7
"83",8,328700000,182600000,146100000,130,6.4,148420,3,7
"84",8,427300000,139300000,288000000,129,6.7,421230,2,7
"85",8,383300000,176400000,206900000,81,7.5,409133,2,7
"86",8,497400000,133400000,364000000,163,7.2,458016,2,6
"87",8,475000000,206500000,268500000,115,6.6,394982,2,7
"88",8,585200000,318400000,266800000,126,7.9,880074,1,5
"89",8,591800000,200800000,391000000,100,7.7,372527,2,7
"90",8,527100000,183100000,343900000,87,7.3,295013,2,7
"91",8,524000000,209000000,315000000,128,7.6,554016,2,6
"92",8,586800000,254500000,332300000,102,6.4,437801,2,7
"93",8,723200000,274100000,449100000,91,7.7,720041,1,5
"94",8,710600000,208500000,502100000,130,7.6,393869,2,5
"95",9,778900000,318500000,460500000,119,7.7,414159,2,5
"96",9,296300000,157300000,139000000,104,7.4,543123,2,6
"97",9,368700000,241400000,127300000,95,6.5,114558,3,7
"98",9,367300000,160900000,206400000,90,6,156588,3,7
"99",9,391100000,200100000,191000000,154,6,262014,2,7
"100",9,372700000,205300000,167400000,140,8.2,1211760,1,6
"101",9,563700000,142600000,421100000,103,5.4,78531,2,7
"102",9,668000000,291000000,377000000,143,7.1,654790,2,5
"103",9,663400000,3300000,660100000,110,7.8,1433,2,7
"104",9,543100000,251500000,291600000,95,7.6,470732,2,7
"105",9,694400000,408000000,286400000,142,7.2,802640,1,5
"106",9,783100000,363100000,420000000,108,8,837240,1,5
"107",9,709000000,202900000,506100000,142,6.6,394097,2,5
"108",10,630200000,228400000,401700000,144,8,693584,2,5
"109",10,291400000,155500000,136000000,130,6.6,111361,3,7
"110",10,273300000,138600000,134700000,147,6.6,209021,3,7
"111",10,358400000,132100000,226300000,145,7.6,475404,2,6
"112",10,351700000,165100000,186600000,131,6.8,239459,3,7
"113",10,384300000,198000000,186300000,108,6.4,159527,3,7
"114",10,368100000,179500000,188600000,118,6.6,280757,3,7
"115",10,821800000,412600000,409300000,141,7.4,500264,1,5
"116",10,677500000,188000000,489400000,169,8.6,1328734,1,5
"117",10,494900000,217600000,277300000,98,8.1,620069,2,6
"118",10,467500000,277300000,190200000,100,7.7,677776,2,6
"119",10,562100000,191500000,370700000,106,6.1,142801,2,7
"120",10,746800000,325100000,421700000,123,6,544971,2,5
"121",11,622700000,216600000,406000000,118,7.1,260088,2,7
"122",11,278000000,157000000,121000000,88,6.2,217351,3,7
"123",11,352100000,164600000,187500000,141,8.1,735337,2,6
"124",11,347300000,226200000,121200000,90,6.6,187882,3,7
"125",11,336000000,155000000,181000000,83,6.7,149562,3,7
"126",11,347500000,173000000,174500000,131,6.8,287801,3,7
"127",11,442800000,227500000,215400000,115,8,583205,2,6
"128",11,555000000,149300000,405700000,90,6.6,135068,2,7
"129",11,609000000,125000000,484000000,127,7.9,543164,2,5
"130",11,587200000,187200000,400000000,98,7.2,179189,2,7
"131",11,415300000,152600000,262600000,145,5.6,111208,2,7
"132",11,677700000,232600000,445100000,115,7.5,532801,2,5
"133",11,657800000,222500000,435300000,102,7.8,378394,2,5
"134",11,571000000,166200000,404800000,125,4.1,282327,2,7
"135",11,807100000,209700000,597400000,105,8.4,294435,2,5
"136",12,643300000,248800000,394600000,107,7.6,231779,2,7
"137",12,428000000,158200000,269800000,86,6.5,23366,3,7
"138",12,313500000,170700000,142800000,135,8.2,782310,2,6
"139",12,306800000,170700000,136100000,113,7.1,203226,3,7
"140",12,383500000,134500000,249000000,128,7.1,373909,3,7
"141",12,314400000,135400000,179000000,81,5.7,79677,3,7
"142",12,326600000,124700000,201800000,109,6.9,344598,3,7
"143",12,540000000,202400000,337600000,116,7,560870,2,7
"144",12,621500000,177000000,444500000,102,7.8,283377,2,7
"145",12,582900000,137700000,445200000,140,7.5,315013,2,7
"146",13,634200000,270400000,363800000,108,7.1,119444,2,7
"147",13,579200000,1500000,577700000,142,6.7,4931,2,7
"148",13,256300000,125600000,130700000,131,7.3,161068,3,7
"149",13,287600000,145100000,142500000,108,6.4,227663,3,7
"150",13,296700000,213300000,83300000,94,6.2,186089,3,7
"151",13,250400000,85300000,165100000,85,6.8,88156,3,7
"152",13,300300000,120200000,180100000,131,6.1,231796,3,7
"153",13,372200000,70100000,302100000,113,6.1,169203,3,7
"154",13,285200000,209300000,75900000,119,6.9,317276,3,7
"155",13,307100000,163600000,143500000,117,8,411367,3,6
"156",13,385700000,257700000,128000000,127,7.9,559745,2,6
"157",13,393600000,192800000,200800000,122,5.2,398795,2,7
"158",13,540400000,237300000,303200000,93,7.1,344358,2,7
"159",13,700400000,327500000,372900000,135,7.4,388128,2,5
"160",13,484600000,143600000,341000000,96,6.9,193916,2,7
"161",13,533000000,183600000,349300000,156,8,634755,2,6
"162",13,547400000,350100000,197300000,133,7.3,407232,2,7
"163",14,544100000,2000000,542100000,121,6.1,1325,2,7
"164",14,248100000,95000000,153100000,106,7.3,359831,3,6
"165",14,246900000,59700000,187200000,135,7.6,389371,3,6
"166",14,260700000,128200000,132500000,91,6.3,124004,3,7
"167",14,288500000,176200000,112300000,108,7.7,411374,3,6
"168",14,291500000,132400000,159100000,151,8.5,1093120,1,6
"169",14,519300000,180200000,339100000,117,7.3,516062,2,7
"170",14,361300000,217300000,144000000,92,5.2,70537,3,7
"171",14,657900000,229000000,428900000,120,6.4,339233,2,5
"172",14,377900000,141300000,236600000,120,8,754588,2,6
"173",14,481800000,176800000,305000000,105,7.6,476863,2,7
"174",14,467400000,228800000,238600000,132,7.7,448354,2,6
"175",14,471200000,189400000,281800000,101,7.7,351668,2,7
"176",15,530200000,145400000,384800000,113,5.7,123739,2,7
"177",15,237200000,101600000,135600000,118,6.5,248288,3,7
"178",15,275700000,153300000,122400000,86,5,89405,3,7
"179",15,245400000,132200000,113200000,138,5.6,241783,3,7
"180",15,286900000,162800000,124100000,100,6.6,157373,3,7
"181",15,340500000,127800000,212700000,107,7,167002,3,7
"182",15,341400000,134500000,206900000,110,6.7,343988,3,7
"183",15,449300000,181000000,268300000,115,7,696205,2,6
"184",15,359100000,176600000,182500000,140,6.2,148535,3,7
"185",15,414800000,132600000,282300000,126,6.7,406976,2,7
"186",15,500100000,131500000,368600000,101,6.3,73381,2,7
"187",15,474800000,169700000,305100000,89,6.7,95097,2,7
"188",16,529300000,201100000,328200000,112,7.1,100723,2,7
"189",16,224800000,106800000,118000000,84,7,166026,3,7
"190",16,235900000,78600000,157300000,146,7.2,277056,3,6
"191",16,236400000,127200000,109200000,107,5.9,235393,3,7
"192",16,230900000,76000000,154900000,121,7,283419,3,7
"193",16,333900000,127500000,206400000,166,7.8,546700,2,6
"194",16,371400000,125300000,246000000,115,6.5,324212,3,7
"195",16,249500000,75000000,174500000,104,5.1,117960,3,4
"196",16,374000000,77600000,296400000,107,7.3,204531,3,7
"197",16,411000000,101800000,309200000,131,6.9,447702,2,6
"198",16,474000000,155200000,318800000,114,6,195995,2,7
